breed,breed_group,height_low,height_high,weight_low,weight_high,life_span_low,life_span_high
Affenpinscher,Toy,9.0,11.5,6.0,13.0,10.0,12.0
Afghan Hound,Hound,25.0,27.0,50.0,60.0,10.0,13.0
Airedale Terrier,Terrier,21.0,23.0,40.0,65.0,10.0,13.0
Akbash Dog,Working,28.0,34.0,90.0,120.0,10.0,12.0
Akita,Working,24.0,28.0,65.0,115.0,10.0,14.0
Alapaha Blue Blood Bulldog,Mixes and More,18.0,24.0,55.0,90.0,12.0,13.0
Alaskan Husky,Mixes and More,,,38.0,50.0,10.0,13.0
Alaskan Malamute,Working,23.0,25.0,65.0,100.0,12.0,15.0
American Eskimo,Non-Sporting,,,,,12.0,15.0
American Foxhound,Hound,21.0,28.0,65.0,75.0,8.0,15.0
American Staffordshire Terrier,Terrier,17.0,19.0,50.0,60.0,12.0,15.0
American Water Spaniel,Sporting,15.0,18.0,25.0,45.0,10.0,12.0
Anatolian Shepherd Dog,Working,27.0,29.0,80.0,150.0,11.0,13.0
Aussiedoodle,Mixes and More,,,25.0,70.0,10.0,12.0
Australian Cattle Dog,Herding,17.0,20.0,44.0,62.0,12.0,14.0
Australian Kelpie,Herding,,,31.0,46.0,10.0,13.0
Australian Shepherd,Herding,18.0,23.0,35.0,65.0,12.0,16.0
Australian Terrier,Terrier,10.0,11.0,14.0,16.0,,
Azawakh,Hound,23.0,29.0,33.0,55.0,10.0,13.0
Basador,Mixes and More,,,50.0,70.0,10.0,12.0
Basenji,Hound,16.0,17.0,22.0,24.0,10.0,12.0
Basset Hound,Hound,,,50.0,65.0,12.0,15.0
Beagle,Hound,,,20.0,35.0,13.0,16.0
Bearded Collie,Herding,20.0,22.0,45.0,55.0,12.0,14.0
Beauceron,Herding,24.0,27.5,80.0,110.0,10.0,12.0
Bedlington Terrier,Terrier,15.0,16.0,17.0,23.0,14.0,16.0
Belgian Laekenois,Herding,22.0,26.0,45.0,65.0,10.0,12.0
Belgian Malinois,Herding,22.0,26.0,40.0,80.0,12.0,14.0
Belgian Sheepdog,Herding,22.0,26.0,40.0,75.0,12.0,14.0
Belgian Tervuren,Herding,22.0,26.0,40.0,65.0,10.0,12.0
Bergamasco,Herding,22.0,23.5,55.0,85.0,13.0,15.0
Berger Picard,Herding,21.5,25.5,55.0,70.0,12.0,15.0
Bernese Mountain Dog,Working,23.0,27.5,65.0,120.0,7.0,10.0
Bichon Frise,Non-Sporting,9.5,11.5,10.0,18.0,,
Black and Tan Coonhound,Hound,23.0,27.0,65.0,100.0,10.0,12.0
Black Russian Terrier,Working,26.0,30.0,80.0,145.0,10.0,11.0
Bloodhound,Hound,23.0,27.0,80.0,110.0,8.0,10.0
Bluetick Coonhound,Hound,21.0,27.0,45.0,80.0,12.0,14.0
Boerboel,Working,22.0,27.0,110.0,200.0,10.0,12.0
Bolognese,Toy,9.0,12.0,7.0,12.0,13.0,15.0
Border Collie,Herding,18.0,22.0,30.0,45.0,12.0,16.0
Border Terrier,Terrier,,,11.5,15.5,12.0,14.0
Borzoi,Hound,26.0,28.0,55.0,120.0,10.0,13.0
Boston Terrier,Non-Sporting,,,10.0,25.0,11.0,13.0
Bouvier des Flandres,Herding,23.5,27.5,70.0,110.0,10.0,15.0
Boxer,Working,21.5,25.0,50.0,70.0,8.0,10.0
Boykin Spaniel,Sporting,14.0,18.0,25.0,40.0,10.0,14.0
Briard,Herding,22.0,27.0,70.0,90.0,10.0,12.0
Brittany,Sporting,17.5,20.5,30.0,45.0,12.0,14.0
Brussels Griffon,Toy,,,8.0,12.0,12.0,15.0
Bull Terrier,Terrier,21.0,22.0,50.0,70.0,10.0,12.0
Bulldog,Non-Sporting,,,40.0,50.0,8.0,10.0
Bullmastiff,Working,24.0,27.0,100.0,130.0,8.0,12.0
Cairn Terrier,Terrier,9.0,10.0,13.0,14.0,14.0,15.0
Canaan Dog,Herding,19.0,24.0,35.0,55.0,12.0,14.0
Cane Corso,Working,23.5,27.5,88.0,120.0,10.0,11.0
Cardigan Welsh Corgi,Herding,10.5,12.5,25.0,38.0,,
Catahoula Leopard Dog,Herding,20.0,26.0,50.0,95.0,10.0,12.0
Caucasian Ovcharka,Working,24.0,33.5,80.0,100.0,10.0,12.0
Cavalier King Charles Spaniel,Toy,12.0,13.0,13.0,18.0,10.0,14.0
Cavapom,Mixes and More,,,8.0,20.0,10.0,12.0
Cavapoo,Mixes and More,,,12.0,25.0,10.0,15.0
Cesky Terrier,Terrier,10.0,13.0,14.0,24.0,10.0,15.0
Chart Polski,Hound,26.5,31.5,65.0,95.0,10.0,13.0
Chesapeake Bay Retriever,Sporting,21.0,26.0,55.0,80.0,10.0,13.0
Chihuahua,Toy,,,,,12.0,20.0
Chinese Crested,Toy,11.0,13.0,10.0,13.0,10.0,14.0
Chinese Shar-Pei,Non-Sporting,18.0,20.0,45.0,60.0,,
Chinook,Working,22.0,26.0,50.0,90.0,12.0,15.0
Chow Chow,Non-Sporting,17.0,20.0,40.0,70.0,12.0,15.0
Chug,Mixes and More,,,10.0,20.0,10.0,13.0
Cirneco dell'Etna,Hound,16.5,19.5,18.0,27.0,12.0,14.0
Clumber Spaniel,Sporting,17.0,20.0,55.0,85.0,10.0,12.0
Cockapoo,Mixes and More,,,10.0,30.0,14.0,18.0
Cocker Spaniel,Sporting,14.0,15.0,20.0,30.0,12.0,15.0
Collie,Herding,22.0,26.0,50.0,70.0,10.0,14.0
Coton de Tulear,Non-Sporting,9.0,11.0,9.0,15.0,13.0,16.0
Curly-Coated Retriever,Sporting,23.0,27.0,60.0,70.0,10.0,15.0
Dachshund,Hound,,,,,12.0,15.0
Dalmatian,Non-Sporting,19.0,23.0,,,10.0,13.0
Dandie Dinmont Terrier,Terrier,8.0,11.0,18.0,24.0,12.0,14.0
Doberman Pinscher,Working,24.0,28.0,66.0,88.0,,
Dogo Argentino,Working,23.5,27.0,80.0,100.0,10.0,12.0
Dogue de Bordeaux,Working,23.0,27.0,90.0,160.0,5.0,10.0
Doxiepoo,Mixes and More,,,10.0,30.0,10.0,15.0
English Cocker Spaniel,Sporting,15.0,17.0,26.0,34.0,12.0,14.0
English Foxhound,Hound,,,60.0,70.0,10.0,13.0
English Setter,Sporting,24.0,25.0,45.0,80.0,,
English Springer Spaniel,Sporting,19.0,20.0,35.0,50.0,12.0,14.0
English Toy Spaniel,Toy,,,8.0,14.0,10.0,12.0
Entlebucher Mountain Dog,Herding,16.0,20.0,45.0,65.0,10.0,13.0
Eurasier,Non-Sporting,20.5,23.5,40.0,70.0,12.0,14.0
Field Spaniel,Sporting,17.0,18.0,35.0,50.0,11.0,15.0
Fila Brasileiro,Working,23.5,29.5,90.0,100.0,10.0,12.0
Finnish Lapphund,Herding,16.0,21.0,33.0,53.0,12.0,15.0
Finnish Spitz,Non-Sporting,15.5,20.0,23.0,28.0,12.0,15.0
Flat-Coated Retriever,Sporting,22.0,24.5,60.0,70.0,10.0,13.0
Fox Terrier,Terrier,,,,,12.0,14.0
French Bulldog,Non-Sporting,11.0,12.0,,,9.0,11.0
German Pinscher,Working,17.0,20.0,25.0,45.0,12.0,14.0
German Shepherd Dog,Herding,22.0,26.0,50.0,90.0,10.0,13.0
German Shorthaired Pointer,Sporting,21.0,25.0,45.0,70.0,12.0,14.0
German Wirehaired Pointer,Sporting,22.0,26.0,45.0,75.0,14.0,16.0
Giant Schnauzer,Working,23.5,27.5,65.0,90.0,10.0,12.0
Glen of Imaal Terrier,Terrier,12.5,14.0,32.0,40.0,12.0,15.0
Golden Retriever,Sporting,21.5,24.0,55.0,75.0,10.0,12.0
Goldendoodle,Mixes and More,13.0,24.0,,,10.0,15.0
Gordon Setter,Sporting,23.0,27.0,45.0,80.0,10.0,12.0
Great Dane,Working,28.0,32.0,110.0,190.0,7.0,10.0
Great Pyrenees,Working,25.0,32.0,85.0,115.0,10.0,12.0
Greater Swiss Mountain Dog,Working,23.5,28.5,85.0,140.0,7.0,9.0
Greyhound,Hound,,,50.0,70.0,10.0,13.0
Harrier,Hound,18.0,22.0,40.0,60.0,12.0,15.0
Havanese,Toy,8.5,11.5,7.0,13.0,14.0,15.0
Ibizan Hound,Hound,22.5,27.5,45.0,50.0,11.0,14.0
Icelandic Sheepdog,Herding,16.5,18.0,20.0,45.0,12.0,15.0
Irish Red and White Setter,Sporting,22.5,26.0,50.0,75.0,11.0,15.0
Irish Setter,Sporting,24.0,27.0,35.0,70.0,10.0,11.0
Irish Terrier,Terrier,,,25.0,27.0,12.0,16.0
Irish Water Spaniel,Sporting,21.0,24.0,45.0,68.0,12.0,15.0
Irish Wolfhound,Hound,30.0,35.0,105.0,180.0,6.0,8.0
